"","LAD19CD","year","LAD19NM","over","lead","safe","exper","IMD.2019...Extent","under18","region_name","for_profit_percent","third_sector_percent","Cic_n_march","CLA_female_percent","CLA_white_percent","imd","region","profit","white","female","n","third"
"119","E06000011","2019","East Riding of Yorkshire","Inadequate","Inadequate","Inadequate","Good",0.0891,18.4786017650869,"Yorkshire and the Humber",23.9520958083832,2.9940119760479,334,46.4071856287425,89.5209580838323,0.0891,"Yorkshire and the Humber",23.9520958083832,89.5209580838323,46.4071856287425,3.34,2.9940119760479
"128","E06000012","2017","North East Lincolnshire","Good","Good","Requires improvement to be good","Good",0.3858,21.5184012613717,"Yorkshire and the Humber",8.41750841750842,NA,297,42.0875420875421,95.959595959596,0.3858,"Yorkshire and the Humber",8.41750841750842,95.959595959596,42.0875420875421,2.97,NA
"139","E06000013","2017","North Lincolnshire","Outstanding","Outstanding","Good","Outstanding",0.2043,20.8291008441627,"Yorkshire and the Humber",10.6194690265487,0,226,45.1327433628319,92.0353982300885,0.2043,"Yorkshire and the Humber",10.6194690265487,92.0353982300885,45.1327433628319,2.26,0
"149","E06000014","2016","York","Good","Good","Requires improvement to be good","Good",0.054,17.7068432244346,"Yorkshire and the Humber",13.0890052356021,4.18848167539267,191,49.2146596858639,96.3350785340314,0.054,"Yorkshire and the Humber",13.0890052356021,96.3350785340314,49.2146596858639,1.91,4.18848167539267
"161","E06000015","2017","Derby","Good","Good","Requires improvement to be good","Good",0.3427,23.2148276103551,"East Midlands",47.5446428571429,7.14285714285714,448,42.6339285714286,76.7857142857143,0.3427,"East Midlands",47.5446428571429,76.7857142857143,42.6339285714286,4.48,7.14285714285714
"172","E06000016","2017","Leicester","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.3713,23.6968942693896,"East Midlands",16.8345323741007,NA,695,47.1942446043166,63.1654676258993,0.3713,"East Midlands",16.8345323741007,63.1654676258993,47.1942446043166,6.95,NA
"186","E06000017","2020","Rutland","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0,19.3942089139243,"East Midlands",27.906976744186,NA,43,41.8604651162791,83.7209302325581,0,"East Midlands",27.906976744186,83.7209302325581,41.8604651162791,0.43,NA
"195","E06000018","2018","Nottingham","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.5235,20.7361607399062,"East Midlands",53.2467532467532,4.05844155844156,616,45.1298701298701,62.3376623376623,0.5235,"East Midlands",53.2467532467532,62.3376623376623,45.1298701298701,6.16,4.05844155844156
"206","E06000019","2018","Herefordshire","Requires improvement to be good","Inadequate","Requires improvement to be good","Requires improvement to be good",0.0687,18.7931725548783,"West Midlands",27.1565495207668,NA,313,50.4792332268371,93.2907348242811,0.0687,"West Midlands",27.1565495207668,93.2907348242811,50.4792332268371,3.13,NA
"219","E06000020","2020","Telford and Wrekin","Outstanding","Outstanding","Good","Outstanding",0.2605,22.9679796163731,"West Midlands",37.9652605459057,NA,403,46.4019851116625,85.6079404466501,0.2605,"West Midlands",37.9652605459057,85.6079404466501,46.4019851116625,4.03,NA
"229","E06000021","2019","Stoke-on-Trent","Inadequate","Inadequate","Inadequate","Inadequate",0.5073,22.5887859580692,"West Midlands",39.6004700352526,1.41010575793185,851,47.4735605170388,80.8460634547591,0.5073,"West Midlands",39.6004700352526,80.8460634547591,47.4735605170388,8.51,1.41010575793185
"238","E06000022","2017","Bath and North East Somerset","Good","Good","Requires improvement to be good","Good",0.0402,18.8458643827049,"South West",42.5,9.375,160,45.625,76.25,0.0402,"South West",42.5,76.25,45.625,1.6,9.375
"250","E06000023","2018","Bristol","Requires improvement to be good","Good","Requires improvement to be good","Requires improvement to be good",0.288,20.2880849365026,"South West",26.2910798122066,8.76369327073552,639,44.4444444444444,67.4491392801252,0.288,"South West",26.2910798122066,67.4491392801252,44.4444444444444,6.39,8.76369327073552
"263","E06000024","2020","North Somerset","Requires improvement to be good","Requires improvement to be good","Good","Requires improvement to be good",0.1151,20.327126647926,"South West",39.8268398268398,5.62770562770563,231,45.021645021645,85.2813852813853,0.1151,"South West",39.8268398268398,85.2813852813853,45.021645021645,2.31,5.62770562770563
"273","E06000025","2019","South Gloucestershire","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.0126,20.7802366245401,"South West",25.5102040816327,11.2244897959184,196,40.8163265306122,84.6938775510204,0.0126,"South West",25.5102040816327,84.6938775510204,40.8163265306122,1.96,11.2244897959184
"283","E06000026","2018","Plymouth","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good","Requires improvement to be good",0.306,19.9741543139491,"South West",42.1052631578947,5.98086124401914,418,44.2583732057416,92.5837320574163,0.306,"South West",42.1052631578947,92.5837320574163,44.2583732057416,4.18,5.98086124401914
"294","E06000027","2018","Torbay","Inadequate","Inadequate","Inadequate","Requires improvement to be good",0.2912,18.7236706436883,"South West",39.8176291793313,2.43161094224924,329,48.6322188449848,92.4012158054711,0.2912,"South West",39.8176291793313,92.4012158054711,48.6322188449848,3.29,2.43161094224924
"328","E06000030","2019","Swindon","Good","Good","Good","Requires improvement to be good",0.1566,22.6636302673802,"South West",37.8223495702006,4.58452722063037,349,44.6991404011461,78.7965616045845,0.1566,"South West",37.8223495702006,78.7965616045845,44.6991404011461,3.49,4.58452722063037
"338","E06000031","2018","Peterborough","Good","Good","Good","Good",0.3675,25.4361050730945,"East of England",42.5474254742547,6.23306233062331,369,43.0894308943089,74.2547425474255,0.3675,"East of England",42.5474254742547,74.2547425474255,43.0894308943089,3.69,6.23306233062331
